Name,Position,Age,Team_from,League_from,Team_to,League_to,Season,Transfer_fee
Luís Figo,Right Winger,27,FC Barcelona,LaLiga,Real Madrid,LaLiga,2000-2001,60000000
Hernán Crespo,Centre-Forward,25,Parma,Serie A,Lazio,Serie A,2000-2001,56810000
Marc Overmars,Left Winger,27,Arsenal,Premier League,FC Barcelona,LaLiga,2000-2001,40000000
Gabriel Batistuta,Centre-Forward,31,Fiorentina,Serie A,AS Roma,Serie A,2000-2001,36150000
Nicolas Anelka,Centre-Forward,21,Real Madrid,LaLiga,Paris SG,Ligue 1,2000-2001,34500000
Rio Ferdinand,Centre-Back,22,West Ham,Premier League,Leeds,Premier League,2000-2001,26000000
Flávio Conceicao,Central Midfield,26,Dep. La Coruña,LaLiga,Real Madrid,LaLiga,2000-2001,25000000
Savo Milosevic,Centre-Forward,26,Real Zaragoza,LaLiga,Parma,Serie A,2000-2001,25000000
David Trézéguet,Centre-Forward,22,Monaco,Ligue 1,Juventus,Serie A,2000-2001,23240000
Claudio López,Centre-Forward,25,Valencia CF,LaLiga,Lazio,Serie A,2000-2001,23000000
Jimmy Floyd Hasselbaink,Centre-Forward,28,Atlético Madrid,LaLiga2,Chelsea,Premier League,2000-2001,22500000
Gerard López,Central Midfield,21,Valencia CF,LaLiga,FC Barcelona,LaLiga,2000-2001,21600000
Lucas,Centre-Forward,21,Atlético-PR, Brazil,Stade Rennais,Ligue 1,2000-2001,21300000
Pablo Aimar,Attacking Midfield,21,River Plate, Argentina,Valencia CF,LaLiga,2000-2001,21250000
Wálter Samuel,Centre-Back,22,Boca Juniors, Argentina,AS Roma,Serie A,2000-2001,20800000
Shabani Nonda,Centre-Forward,23,Stade Rennais,Ligue 1,Monaco,Ligue 1,2000-2001,20000000
Robbie Keane,Centre-Forward,19,Coventry City,Premier League,Inter,Serie A,2000-2001,19500000
José Mari,Centre-Forward,21,Atlético Madrid,LaLiga2,AC Milan,Serie A,2000-2001,19000000
Jonathan Zebina,Centre-Back,21,Cagliari Calcio,Serie B,AS Roma,Serie A,2000-2001,18400000
Émerson,Defensive Midfield,24,Bay. Leverkusen,1.Bundesliga,AS Roma,Serie A,2000-2001,18000000
Sergiy Rebrov,Second Striker,26,Dynamo Kyiv,Premier Liga,Spurs,Premier League,2000-2001,18000000
Angelo Peruzzi,Goalkeeper,30,Inter,Serie A,Lazio,Serie A,2000-2001,17900000
Diego Tristán,Centre-Forward,24,RCD Mallorca,LaLiga,Dep. La Coruña,LaLiga,2000-2001,17750000
Sylvain Wiltord,Second Striker,26,G. Bordeaux,Ligue 1,Arsenal,Premier League,2000-2001,17500000
Fernando Redondo,Defensive Midfield,31,Real Madrid,LaLiga,AC Milan,Serie A,2000-2001,17500000
Nuno Gomes,Centre-Forward,24,Benfica,Liga NOS,Fiorentina,Serie A,2000-2001,17000000
Sérgio Conceição,Right Winger,25,Lazio,Serie A,Parma,Serie A,2000-2001,17000000
Alfonso,Centre-Forward,27,Real Betis,LaLiga2,FC Barcelona,LaLiga,2000-2001,16500000
Francisco Farinós,Defensive Midfield,22,Valencia CF,LaLiga,Inter,Serie A,2000-2001,16250000
Kakhaber Kaladze,Centre-Back,22,Dynamo Kyiv,Premier Liga,AC Milan,Serie A,2000-2001,16000000
Francis Jeffers,Centre-Forward,20,Everton,Premier League,Arsenal,Premier League,2000-2001,15300000
Emmanuel Petit,Defensive Midfield,29,Arsenal,Premier League,FC Barcelona,LaLiga,2000-2001,15000000
Catanha,Centre-Forward,28,Málaga CF,LaLiga,Celta de Vigo,LaLiga,2000-2001,14420000
Juan Pablo Ángel,Centre-Forward,25,River Plate, Argentina,Aston Villa,Premier League,2000-2001,14400000
Claude Makélélé,Defensive Midfield,27,Celta de Vigo,LaLiga,Real Madrid,LaLiga,2000-2001,14000000
Aldo Duscher,Defensive Midfield,21,Sporting CP,Liga NOS,Dep. La Coruña,LaLiga,2000-2001,13000000
Ugo Ehiogu,Centre-Back,27,Aston Villa,Premier League,Middlesbrough,Premier League,2000-2001,12200000
Jesper Grönkjaer,Left Winger,23,AFC Ajax,Eredivisie,Chelsea,Premier League,2000-2001,11850000
Fabien Barthez,Goalkeeper,29,Monaco,Ligue 1,Man Utd,Premier League,2000-2001,11700000
Edmílson,Centre-Back,23,São Paulo, Brazil,Olympique Lyon,Ligue 1,2000-2001,11000000
Stéphane Dalmat,Central Midfield,21,Marseille,Ligue 1,Paris SG,Ligue 1,2000-2001,10750000
Laurén,Right-Back,23,RCD Mallorca,LaLiga,Arsenal,Premier League,2000-2001,10700000
Pedro Munitis,Second Striker,25,Racing,LaLiga,Real Madrid,LaLiga,2000-2001,10500000
Olivier Dacourt,Defensive Midfield,25,Lens,Ligue 1,Leeds,Premier League,2000-2001,10500000
Carl Cort,Centre-Forward,22,MK Dons, England,Newcastle,Premier League,2000-2001,10500000
Stéphane Porato,Goalkeeper,26,Marseille,Ligue 1,Monaco,Ligue 1,2000-2001,10500000
Robert Pirès,Left Midfield,26,Marseille,Ligue 1,Arsenal,Premier League,2000-2001,9800000
Émerson,Defensive Midfield,28,CD Tenerife,LaLiga2,Dep. La Coruña,LaLiga,2000-2001,9600000
Claudio Husaín,Defensive Midfield,25,River Plate, Argentina,SSC Napoli,Serie A,2000-2001,9300000
Craig Bellamy,Left Winger,21,Norwich, England,Coventry City,Premier League,2000-2001,9250000
Mark Viduka,Centre-Forward,24,Celtic, Scotland,Leeds,Premier League,2000-2001,9150000
Pauleta,Centre-Forward,27,Dep. La Coruña,LaLiga,G. Bordeaux,Ligue 1,2000-2001,9100000
Alpay Özalan,Centre-Back,27,Fenerbahce,Süper Lig,Aston Villa,Premier League,2000-2001,9000000
Christian Ziege,Left Midfield,28,Middlesbrough,Premier League,Liverpool,Premier League,2000-2001,9000000
Nick Barmby,Left Midfield,26,Everton,Premier League,Liverpool,Premier League,2000-2001,9000000
Marc-Vivien Foé,Central Midfield,25,West Ham,Premier League,Olympique Lyon,Ligue 1,2000-2001,9000000
Christian Karembeu,Defensive Midfield,29,Real Madrid,LaLiga,Middlesbrough,Premier League,2000-2001,8750000
John Carew,Centre-Forward,20,Rosenborg BK,Eliteserien,Valencia CF,LaLiga,2000-2001,8500000
Mario Stanic,Right Winger,28,Parma,Serie A,Chelsea,Premier League,2000-2001,8400000
Igor Biscan,Centre-Back,22,Dinamo Zagreb, Croatia,Liverpool,Premier League,2000-2001,8250000
Julio Cruz,Centre-Forward,25,Feyenoord,Eredivisie,Bologna,Serie A,2000-2001,8200000
Patrick Müller,Centre-Back,23,Grasshoppers,Super League,Olympique Lyon,Ligue 1,2000-2001,8000000
Zlatko Zahovic,Attacking Midfield,29,Olympiacos,Super League,Valencia CF,LaLiga,2000-2001,8000000
Sabri Lamouchi,Central Midfield,28,Monaco,Ligue 1,Parma,Serie A,2000-2001,7850000
Johan Micoud,Attacking Midfield,26,G. Bordeaux,Ligue 1,Parma,Serie A,2000-2001,7600000
Martín Palermo,Centre-Forward,27,Boca Juniors, Argentina,Villarreal CF,LaLiga,2000-2001,7600000
Ben Thatcher,Left-Back,24,MK Dons, England,Spurs,Premier League,2000-2001,7540000
Eidur Gudjohnsen,Centre-Forward,21,Bolton, England,Chelsea,Premier League,2000-2001,7500000
Bruno Cirillo,Centre-Back,23,Reggina,Serie A,Inter,Serie A,2000-2001,7500000
Dino Baggio,Defensive Midfield,29,Parma,Serie A,Lazio,Serie A,2000-2001,7500000
David Sesa,Second Striker,26,Lecce,Serie A,SSC Napoli,Serie A,2000-2001,7250000
Dominic Matteo,Left-Back,26,Liverpool,Premier League,Leeds,Premier League,2000-2001,7130000
Mauro Germán Camoranesi,Right Midfield,24,CD Cruz Azul, Mexico,Hellas Verona,Serie A,2000-2001,7000000
Luís Fabiano,Centre-Forward,19,Ponte Preta, Brazil,Stade Rennais,Ligue 1,2000-2001,7000000
Hermann Hreidarsson,Centre-Back,25,MK Dons, England,Ipswich,Premier League,2000-2001,6750000
Émerson Thome,Centre-Back,28,Chelsea,Premier League,Sunderland,Premier League,2000-2001,6700000
Hakan Sükür,Centre-Forward,28,Galatasaray,Süper Lig,Inter,Serie A,2000-2001,6500000
Philippe Delaye,Central Midfield,25,Montpellier,Ligue 2,Stade Rennais,Ligue 1,2000-2001,6500000
Alex Nyarko,Centre-Back,26,Lens,Ligue 1,Everton,Premier League,2000-2001,6300000
César Sánchez,Goalkeeper,28,Real Valladolid,LaLiga,Real Madrid,LaLiga,2000-2001,6250000
Patrick M'Boma,Centre-Forward,29,Cagliari Calcio,Serie B,Parma,Serie A,2000-2001,6100000
Claus Jensen,Attacking Midfield,23,Bolton, England,Charlton,Premier League,2000-2001,6000000
Lucas Bernardi,Central Midfield,22,Newell's, Argentina,Marseille,Ligue 1,2000-2001,6000000
Frédéric Déhu,Centre-Back,27,FC Barcelona,LaLiga,Paris SG,Ligue 1,2000-2001,6000000
Esteban Fuertes,Centre-Forward,27,Derby,Premier League,Lens,Ligue 1,2000-2001,6000000
Sebastián Cejas,Goalkeeper,26,Newell's, Argentina,AS Roma,Serie A,2000-2001,6000000
Duncan Ferguson,Centre-Forward,28,Newcastle,Premier League,Everton,Premier League,2000-2001,5400000
Giorgi Demetradze,Centre-Forward,24,Dynamo Kyiv,Premier Liga,Real Sociedad,LaLiga,2000-2001,5400000
Christian Bassedas,Attacking Midfield,27,Vélez Sarsfield, Argentina,Newcastle,Premier League,2000-2001,5300000
José Luis Chilavert,Goalkeeper,35,Vélez Sarsfield, Argentina,R. Strasbourg,Ligue 1,2000-2001,5300000
Roberto Ayala,Centre-Back,27,AC Milan,Serie A,Valencia CF,LaLiga,2000-2001,5000000
Viorel Moldovan,Centre-Forward,28,Fenerbahce,Süper Lig,FC Nantes,Ligue 1,2000-2001,5000000
Vratislav Gresko,Left-Back,23,Bay. Leverkusen,1.Bundesliga,Inter,Serie A,2000-2001,5000000
Giorgi Kinkladze,Attacking Midfield,27,AFC Ajax,Eredivisie,Derby,Premier League,2000-2001,5000000
Fernandão,Centre-Forward,22,Goiás EC, Brazil,Marseille,Ligue 1,2000-2001,5000000
Vicente,Left Winger,18,Levante UD,LaLiga2,Valencia CF,LaLiga,2000-2001,4800000
Julio Arca,Central Midfield,19,Argentinos, Argentina,Sunderland,Premier League,2000-2001,4700000
Richard Dunne,Centre-Back,21,Everton,Premier League,Man City,Premier League,2000-2001,4500000
Gary Rowett,Right-Back,26,Birmingham, England,Leicester,Premier League,2000-2001,4500000
David Thompson,Right Midfield,22,Liverpool,Premier League,Coventry City,Premier League,2000-2001,4500000
Alessandro Pistone,Left-Back,24,Newcastle,Premier League,Everton,Premier League,2000-2001,4500000
Joseph-Désiré Job,Centre-Forward,22,Lens,Ligue 1,Middlesbrough,Premier League,2000-2001,4500000
Radostin Kishishev,Defensive Midfield,25,Litex Lovetch, Bulgaria,Charlton,Premier League,2000-2001,4500000
Bernard Diomède,Left Winger,26,AJ Auxerre,Ligue 1,Liverpool,Premier League,2000-2001,4500000
Sixto Peralta,Central Midfield,21,Racing Club, Argentina,Inter,Serie A,2000-2001,4500000
Jonatan Johansson,Centre-Forward,24,Rangers, Scotland,Charlton,Premier League,2000-2001,4300000
Rodolfo Arruabarrena,Left-Back,24,Boca Juniors, Argentina,Villarreal CF,LaLiga,2000-2001,4200000
Rigobert Song,Centre-Back,24,Liverpool,Premier League,West Ham,Premier League,2000-2001,4100000
José Francisco Molina,Goalkeeper,29,Atlético Madrid,LaLiga2,Dep. La Coruña,LaLiga,2000-2001,4100000
Adrian Mutu,Centre-Forward,21,Inter,Serie A,Hellas Verona,Serie A,2000-2001,4000000
Gianni Guigou,Defensive Midfield,25,Nacional, Uruguay,AS Roma,Serie A,2000-2001,4000000
Richard Dutruel,Goalkeeper,27,Celta de Vigo,LaLiga,FC Barcelona,LaLiga,2000-2001,4000000
Charles Amoah,Centre-Forward,25,FC St. Gallen,Super League,Sturm Graz,Bundesliga,2000-2001,3930000
Niclas Alexandersson,Right Midfield,28,Sheff Wed, England,Everton,Premier League,2000-2001,3800000
Darren Huckerby,Right Winger,24,Leeds,Premier League,Man City,Premier League,2000-2001,3800000
David Hopkin,Right Midfield,29,Leeds,Premier League,Bradford City,Premier League,2000-2001,3750000
Alf-Inge Haland,Defensive Midfield,27,Leeds,Premier League,Man City,Premier League,2000-2001,3750000
Lomana LuaLua,Second Striker,19,Colchester Utd., England,Newcastle,Premier League,2000-2001,3750000
Steve Watson,Right Midfield,26,Aston Villa,Premier League,Everton,Premier League,2000-2001,3750000
Lee Carsley,Defensive Midfield,26,Blackburn, England,Coventry City,Premier League,2000-2001,3750000
Don Hutchison,Attacking Midfield,29,Everton,Premier League,Sunderland,Premier League,2000-2001,3750000
Didier Deschamps,Defensive Midfield,31,Chelsea,Premier League,Valencia CF,LaLiga,2000-2001,3500000
Santiago Solari,Left Midfield,23,Atlético Madrid,LaLiga2,Real Madrid,LaLiga,2000-2001,3500000
Thomas Gravesen,Defensive Midfield,24,Hamburger SV,1.Bundesliga,Everton,Premier League,2000-2001,3500000
Jeong-hwan Ahn,Centre-Forward,23,Busan IPark," Korea, South",Perugia,Serie A,2000-2001,3500000
Stephen Hughes,Defensive Midfield,23,Arsenal,Premier League,Everton,Premier League,2000-2001,3500000
Marc Wilmots,Attacking Midfield,31,FC Schalke 04,1.Bundesliga,G. Bordeaux,Ligue 1,2000-2001,3500000
Alen Boksic,Centre-Forward,30,Lazio,Serie A,Middlesbrough,Premier League,2000-2001,3450000
Aleksey Smertin,Defensive Midfield,25,Loko Moscow,Premier Liga,G. Bordeaux,Ligue 1,2000-2001,3000000
Stjepan Tomas,Centre-Back,24,Dinamo Zagreb, Croatia,Vicenza,Serie A,2000-2001,3000000
Danny Higginbotham,Centre-Back,21,Man Utd,Premier League,Derby,Premier League,2000-2001,3000000
Andrew O'Brien,Centre-Back,21,Bradford City,Premier League,Newcastle,Premier League,2000-2001,3000000
Antonio Pacheco,Second Striker,24,Peñarol, Uruguay,Inter,Serie A,2000-2001,3000000
Noel Whelan,Centre-Forward,25,Coventry City,Premier League,Middlesbrough,Premier League,2000-2001,3000000
Changui,Centre-Forward,23,SD Compostela,LaLiga2,Dep. La Coruña,LaLiga,2000-2001,3000000
Shaun Bartlett,Centre-Forward,28,FC Zürich,Super League,Charlton,Premier League,2000-2001,3000000
Oktay Derelioglu,Centre-Forward,24,Siirtspor,Süper Lig,UD Las Palmas,LaLiga,2000-2001,3000000
Bjørn Otto Bragstad,Centre-Back,29,Rosenborg BK,Eliteserien,Derby,Premier League,2000-2001,3000000
Bernard Mendy,Right-Back,18,SM Caen,Ligue 2,Paris SG,Ligue 1,2000-2001,2700000
Danijel Ljuboja,Centre-Forward,21,FC Sochaux,Ligue 2,R. Strasbourg,Ligue 1,2000-2001,2700000
Gabriel Schürrer,Centre-Back,28,Dep. La Coruña,LaLiga,UD Las Palmas,LaLiga,2000-2001,2700000
Gary Naysmith,Left-Back,21,Heart of Midl., Scotland,Everton,Premier League,2000-2001,2630000
Christian Dailly,Centre-Back,27,Blackburn, England,West Ham,Premier League,2000-2001,2600000
Abdelilah Saber,Right-Back,26,Sporting CP,Liga NOS,SSC Napoli,Serie A,2000-2001,2500000
Callum Davidson,Left-Back,24,Blackburn, England,Leicester,Premier League,2000-2001,2500000
Feliciano Magro,Attacking Midfield,21,Grasshoppers,Super League,Udinese Calcio,Serie A,2000-2001,2500000
Jean-François Gillet,Goalkeeper,21,Monza,Serie B,Bari,Serie A,2000-2001,2500000
Edgaras Jankauskas,Centre-Forward,25,Club Brugge,Jupiler Pro League,Real Sociedad,LaLiga,2000-2001,2300000
Karel Poborsky,Right Midfield,28,Benfica,Liga NOS,Lazio,Serie A,2000-2001,2250000
Trevor Benjamin,Centre-Forward,21,Cambridge Utd., England,Leicester,Premier League,2000-2001,2250000
Francesc Arnau,Goalkeeper,25,FC Barcelona,LaLiga,Málaga CF,LaLiga,2000-2001,2100000
Bernt Haas,Right-Back,22,Grasshoppers,Super League,Sunderland,Premier League,2000-2001,2100000
Chris Makin,Left-Back,27,Sunderland,Premier League,Ipswich,Premier League,2000-2001,2100000
Ashley Ward,Centre-Forward,29,Blackburn, England,Bradford City,Premier League,2000-2001,2100000
Elvir Bolic,Centre-Forward,28,Fenerbahce,Süper Lig,Rayo Vallecano,LaLiga,2000-2001,2000000
Aleksandr Panov,Centre-Forward,24,Zenit S-Pb,Premier Liga,Saint-Étienne,Ligue 1,2000-2001,2000000
Slavisa Jokanovic,Defensive Midfield,32,Dep. La Coruña,LaLiga,Chelsea,Premier League,2000-2001,1900000
José Amavisca,Left Midfield,29,Racing,LaLiga,Dep. La Coruña,LaLiga,2000-2001,1900000
Radek Bejbl,Defensive Midfield,27,Atlético Madrid,LaLiga2,Lens,Ligue 1,2000-2001,1800000
Yago Yao,Centre-Back,21,Sporting Gijón,LaLiga2,Celta de Vigo,LaLiga,2000-2001,1800000
Zinédine Zidane,Attacking Midfield,29,Juventus,Serie A,Real Madrid,LaLiga,2001-2002,77500000
Gianluigi Buffon,Goalkeeper,23,Parma,Serie A,Juventus,Serie A,2001-2002,52880000
Gaizka Mendieta,Right Midfield,27,Valencia CF,LaLiga,Lazio,Serie A,2001-2002,48000000
Juan Sebastián Verón,Central Midfield,26,Lazio,Serie A,Man Utd,Premier League,2001-2002,42600000
Rui Costa,Attacking Midfield,29,Fiorentina,Serie A,AC Milan,Serie A,2001-2002,42000000
Lilian Thuram,Centre-Back,29,Parma,Serie A,Juventus,Serie A,2001-2002,41500000
Pavel Nedved,Left Midfield,28,Lazio,Serie A,Juventus,Serie A,2001-2002,38700000
Filippo Inzaghi,Centre-Forward,27,Juventus,Serie A,AC Milan,Serie A,2001-2002,37000000
Javier Saviola,Second Striker,19,River Plate, Argentina,FC Barcelona,LaLiga,2001-2002,35900000
Ruud van Nistelrooy,Centre-Forward,25,PSV Eindhoven,Eredivisie,Man Utd,Premier League,2001-2002,28500000
Antonio Cassano,Second Striker,18,Bari,Serie B,AS Roma,Serie A,2001-2002,28500000
Hidetoshi Nakata,Attacking Midfield,24,AS Roma,Serie A,Parma,Serie A,2001-2002,28400000
Francesco Toldo,Goalkeeper,29,Fiorentina,Serie A,Inter,Serie A,2001-2002,26500000
Jaap Stam,Centre-Back,29,Man Utd,Premier League,Lazio,Serie A,2001-2002,25750000
Stefano Fiore,Attacking Midfield,26,Udinese Calcio,Serie A,Lazio,Serie A,2001-2002,25000000
Marcelo Salas,Centre-Forward,26,Lazio,Serie A,Juventus,Serie A,2001-2002,25000000
Geovanni,Attacking Midfield,21,Cruzeiro, Brazil,FC Barcelona,LaLiga,2001-2002,21000000
Andrea Pirlo,Defensive Midfield,22,Inter,Serie A,AC Milan,Serie A,2001-2002,18000000
Sérgio Conceição,Right Winger,26,Parma,Serie A,Inter,Serie A,2001-2002,18000000
Robbie Keane,Centre-Forward,20,Inter,Serie A,Leeds,Premier League,2001-2002,18000000
Sergio,Central Midfield,24,Espanyol,LaLiga,Dep. La Coruña,LaLiga,2001-2002,17900000
Steve Marlet,Centre-Forward,27,Olympique Lyon,Ligue 1,Fulham,Premier League,2001-2002,17600000
Philippe Christanval,Centre-Back,22,Monaco,Ligue 1,FC Barcelona,LaLiga,2001-2002,17000000
Evanilson,Right-Back,25,Bor. Dortmund,1.Bundesliga,Parma,Serie A,2001-2002,17000000
Robbie Fowler,Centre-Forward,26,Liverpool,Premier League,Leeds,Premier League,2001-2002,16800000
Frank Lampard,Central Midfield,23,West Ham,Premier League,Chelsea,Premier League,2001-2002,16000000
Javi Moreno,Centre-Forward,26,Alavés,LaLiga,AC Milan,Serie A,2001-2002,16000000
Luca Toni,Centre-Forward,24,Vicenza,Serie B,Brescia,Serie A,2001-2002,15500000
Cristian Zenoni,Right-Back,24,AC Milan,Serie A,Juventus,Serie A,2001-2002,15500000
Darko Kovacevic,Centre-Forward,27,Juventus,Serie A,Lazio,Serie A,2001-2002,15000000
Massimo Donati,Defensive Midfield,20,Atalanta,Serie A,AC Milan,Serie A,2001-2002,15000000
Laurent Robert,Left Winger,26,Paris SG,Ligue 1,Newcastle,Premier League,2001-2002,14330000
Ivan Pelizzoli,Goalkeeper,20,Atalanta,Serie A,AS Roma,Serie A,2001-2002,14000000
Giovanni van Bronckhorst,Left-Back,26,Rangers, Scotland,Arsenal,Premier League,2001-2002,13500000
Adriano,Centre-Forward,19,Flamengo, Brazil,Inter,Serie A,2001-2002,13190000
Mohamed Kallon,Centre-Forward,21,Vicenza,Serie B,Inter,Serie A,2001-2002,13000000
Goran Drulic,Centre-Forward,24,Red Star, Serbia,Real Zaragoza,LaLiga,2001-2002,13000000
Andy Cole,Centre-Forward,30,Man Utd,Premier League,Blackburn,Premier League,2001-2002,12200000
Dean Richards,Centre-Back,27,Southampton,Premier League,Spurs,Premier League,2001-2002,12150000
Éric Carrière,Attacking Midfield,28,FC Nantes,Ligue 1,Olympique Lyon,Ligue 1,2001-2002,12000000
Daniel Van Buyten,Centre-Back,23,Standard Liège,Jupiler Pro League,Marseille,Ligue 1,2001-2002,11500000
Seth Johnson,Central Midfield,22,Derby,Premier League,Leeds,Premier League,2001-2002,11500000
Emmanuel Petit,Defensive Midfield,30,FC Barcelona,LaLiga,Chelsea,Premier League,2001-2002,11500000
Juan Carlos Valerón,Attacking Midfield,26,Atlético Madrid,LaLiga2,Dep. La Coruña,LaLiga,2001-2002,11000000
Cristiano Zanetti,Defensive Midfield,24,AS Roma,Serie A,Inter,Serie A,2001-2002,11000000
Diego Forlán,Second Striker,22,Independiente, Argentina,Man Utd,Premier League,2001-2002,11000000
Mario Turdó,Centre-Forward,22,Celta de Vigo,LaLiga,Stade Rennais,Ligue 1,2001-2002,10820000
Salva Ballesta,Centre-Forward,26,Atlético Madrid,LaLiga2,Valencia CF,LaLiga,2001-2002,10800000
Corrado Grabbi,Centre-Forward,25,Ternana,Serie B,Blackburn,Premier League,2001-2002,10700000
Marco Materazzi,Centre-Back,27,Perugia,Serie A,Inter,Serie A,2001-2002,10500000
Edwin van der Sar,Goalkeeper,30,Juventus,Serie A,Fulham,Premier League,2001-2002,10300000
Martin Djetou,Centre-Back,26,Monaco,Ligue 1,Parma,Serie A,2001-2002,9750000
Gareth Southgate,Centre-Back,30,Aston Villa,Premier League,Middlesbrough,Premier League,2001-2002,9750000
Hugo Leal,Central Midfield,21,Atlético Madrid,LaLiga2,Paris SG,Ligue 1,2001-2002,9500000
William Gallas,Centre-Back,23,Marseille,Ligue 1,Chelsea,Premier League,2001-2002,9300000
Martin Laursen,Centre-Back,23,Hellas Verona,Serie A,Parma,Serie A,2001-2002,9300000
Craig Bellamy,Left Winger,21,Coventry City,First Division,Newcastle,Premier League,2001-2002,9000000
Fábio Rochemback,Central Midfield,19,Internacional, Brazil,FC Barcelona,LaLiga,2001-2002,9000000
Lucas Bernardi,Central Midfield,23,Marseille,Ligue 1,Monaco,Ligue 1,2001-2002,9000000
Richard Wright,Goalkeeper,23,Ipswich,Premier League,Arsenal,Premier League,2001-2002,9000000
Péguy Luyindula,Centre-Forward,22,R. Strasbourg,Ligue 2,Olympique Lyon,Ligue 1,2001-2002,8800000
Edú Gaspar,Central Midfield,23,Corinthians, Brazil,Arsenal,Premier League,2001-2002,8750000
Flavio Roma,Goalkeeper,27,Piacenza,Serie A,Monaco,Ligue 1,2001-2002,8500000
Tomás Repka,Centre-Back,27,Fiorentina,Serie A,West Ham,Premier League,2001-2002,8250000
Chris Kirkland,Goalkeeper,20,Coventry City,First Division,Liverpool,Premier League,2001-2002,8200000
Alex,Attacking Midfield,23,Cruzeiro, Brazil,Parma,Serie A,2001-2002,8000000
Darko Kovacevic,Centre-Forward,28,Lazio,Serie A,Real Sociedad,LaLiga,2001-2002,8000000
Boudewijn Zenden,Left Winger,24,FC Barcelona,LaLiga,Chelsea,Premier League,2001-2002,8000000
Patrik Andersson,Centre-Back,29,Bayern Munich ,1.Bundesliga,FC Barcelona,LaLiga,2001-2002,8000000
Bosko Balaban,Centre-Forward,22,Dinamo Zagreb, Croatia,Aston Villa,Premier League,2001-2002,7800000
Jermaine Jenas,Central Midfield,18,Nottm Forest,First Division,Newcastle,Premier League,2001-2002,7500000
Jason Euell,Second Striker,24,MK Dons,First Division,Charlton,Premier League,2001-2002,7500000
Giuliano Giannichedda,Defensive Midfield,26,Udinese Calcio,Serie A,Lazio,Serie A,2001-2002,7500000
Frédéric Née,Centre-Forward,26,SC Bastia,Ligue 1,Olympique Lyon,Ligue 1,2001-2002,7500000
Don Hutchison,Attacking Midfield,30,Sunderland,Premier League,West Ham,Premier League,2001-2002,7500000
Peter Crouch,Centre-Forward,21,Portsmouth,First Division,Aston Villa,Premier League,2001-2002,7500000
Jerzy Dudek,Goalkeeper,28,Feyenoord,Eredivisie,Liverpool,Premier League,2001-2002,7400000
Javier Chevantón,Centre-Forward,20,Danubio FC, Uruguay,Lecce,Serie A,2001-2002,7000000
Cosmin Contra,Right-Back,25,Alavés,LaLiga,AC Milan,Serie A,2001-2002,7000000
Camel Meriem,Attacking Midfield,22,FC Sochaux,Ligue 1,G. Bordeaux,Ligue 1,2001-2002,7000000
Jesper Blomqvist,Left Midfield,27,Man Utd,Premier League,Everton,Premier League,2001-2002,7000000
Nelson Vivas,Right-Back,31,Arsenal,Premier League,Inter,Serie A,2001-2002,7000000
Milan Baros,Centre-Forward,20,Banik Ostrava, Czech Republic,Liverpool,Premier League,2001-2002,7000000
Olof Mellberg,Centre-Back,23,Racing,LaLiga2,Aston Villa,Premier League,2001-2002,6800000
Szilard Nemeth,Second Striker,23,Inter Bratislava, Slovakia,Middlesbrough,Premier League,2001-2002,6750000
Tomasz Radzinski,Centre-Forward,27,RSC Anderlecht,Jupiler Pro League,Everton,Premier League,2001-2002,6750000
Claudio Reyna,Central Midfield,28,Rangers, Scotland,Sunderland,Premier League,2001-2002,6700000
Steed Malbranque,Central Midfield,21,Olympique Lyon,Ligue 1,Fulham,Premier League,2001-2002,6600000
Christian Ziege,Left Midfield,29,Liverpool,Premier League,Spurs,Premier League,2001-2002,6500000
Joan Capdevila,Left-Back,23,Atlético Madrid,LaLiga2,Dep. La Coruña,LaLiga,2001-2002,6400000
Matteo Sereni,Goalkeeper,26,Sampdoria,Serie B,Ipswich,Premier League,2001-2002,6250000
John Arne Riise,Left-Back,20,Monaco,Ligue 1,Liverpool,Premier League,2001-2002,6100000
Luke Young,Right-Back,21,Spurs,Premier League,Charlton,Premier League,2001-2002,6000000
Rory Delap,Central Midfield,25,Derby,Premier League,Southampton,Premier League,2001-2002,6000000
Goran Bunjevcevic,Centre-Back,28,Red Star, Serbia,Spurs,Premier League,2001-2002,6000000
Antonio Guayre,Right Winger,21,UD Las Palmas,LaLiga,Villarreal CF,LaLiga,2001-2002,6000000
Gonzalo Sorondo,Centre-Back,21,Defensor, Uruguay,Inter,Serie A,2001-2002,6000000
Lamberto Zauli,Attacking Midfield,30,Vicenza,Serie B,Bologna,Serie A,2001-2002,6000000
Agustín Delgado,Centre-Forward,27,Necaxa, Mexico,Southampton,Premier League,2001-2002,5750000
Joey Gudjónsson,Central Midfield,21,RKC Waalwijk,Eredivisie,Real Betis,LaLiga,2001-2002,5630000
Didier Domi,Left-Back,23,Newcastle,Premier League,Paris SG,Ligue 1,2001-2002,5580000
Sylvain Legwinski,Left Midfield,28,G. Bordeaux,Ligue 1,Fulham,Premier League,2001-2002,5250000
Jon Harley,Left-Back,21,Chelsea,Premier League,Fulham,Premier League,2001-2002,5250000
Nicolás Medina,Defensive Midfield,19,Argentinos, Argentina,Sunderland,Premier League,2001-2002,5250000
Ronaldinho,Attacking Midfield,21,Grêmio, Brazil,Paris SG,Ligue 1,2001-2002,5100000
Nihat Kahveci,Centre-Forward,22,Besiktas,Süper Lig,Real Sociedad,LaLiga,2001-2002,5000000
